locus_tag	ftype	length_bp	gene	EC_number	COG	product
MFNABGGJ_00080	CDS	897	trpI			HTH-type transcriptional regulator TrpI
MFNABGGJ_00081	CDS	1227	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
MFNABGGJ_00082	CDS	810	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
MFNABGGJ_00083	CDS	447				hypothetical protein
MFNABGGJ_00084	CDS	1305	dgoT			D-galactonate transporter
MFNABGGJ_00085	CDS	1149	dgoD_1	4.2.1.6	COG4948	D-galactonate dehydratase
MFNABGGJ_00086	CDS	621	dgoA	4.1.2.21	COG0800	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
MFNABGGJ_00087	CDS	969	dgoK1	2.7.1.58	COG3734	putative 2-dehydro-3-deoxygalactonokinase DgoK1
MFNABGGJ_00088	CDS	327				hypothetical protein
MFNABGGJ_00089	CDS	951	perR			HTH-type transcriptional regulator PerR
MFNABGGJ_00090	CDS	1533	betC	3.1.6.6	COG3119	Choline-sulfatase
MFNABGGJ_00091	CDS	921				hypothetical protein
MFNABGGJ_00092	CDS	1569	dauA_1		COG0659	C4-dicarboxylic acid transporter DauA
MFNABGGJ_00093	CDS	819	aroE_1	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
MFNABGGJ_00094	CDS	930	hemF	1.3.3.3	COG0408	Oxygen-dependent coproporphyrinogen-III oxidase
MFNABGGJ_00095	CDS	978	qorA_1	1.6.5.5	COG0604	Quinone oxidoreductase 1
MFNABGGJ_00096	CDS	558	tsaC	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
MFNABGGJ_00097	CDS	1095				hypothetical protein
MFNABGGJ_00098	CDS	789				hypothetical protein
MFNABGGJ_00099	CDS	507	def_1	3.5.1.88	COG0242	Peptide deformylase
MFNABGGJ_00100	CDS	960	fmt	2.1.2.9	COG0223	Methionyl-tRNA formyltransferase
MFNABGGJ_00101	CDS	1311	rsmB	2.1.1.176	COG0144	Ribosomal RNA small subunit methyltransferase B
MFNABGGJ_00102	CDS	1374	trkA		COG0569	Trk system potassium uptake protein TrkA
MFNABGGJ_00103	CDS	312				hypothetical protein
MFNABGGJ_00104	CDS	888	lpxL_1	2.3.1.241	COG1560	Lipid A biosynthesis lauroyltransferase
MFNABGGJ_00105	CDS	558	tag_1	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
MFNABGGJ_00106	CDS	954	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
MFNABGGJ_00107	CDS	2055	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
MFNABGGJ_00108	CDS	537	gmhB	3.1.3.82	COG0241	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
MFNABGGJ_00109	CDS	771				hypothetical protein
MFNABGGJ_00110	CDS	2292	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
MFNABGGJ_00111	CDS	996				hypothetical protein
MFNABGGJ_00112	CDS	252				hypothetical protein
MFNABGGJ_00113	CDS	723	cseB		COG0745	Transcriptional regulatory protein CseB
MFNABGGJ_00114	CDS	855				hypothetical protein
MFNABGGJ_00115	CDS	2424	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
MFNABGGJ_00116	CDS	1104	recF		COG1195	DNA replication and repair protein RecF
MFNABGGJ_00117	CDS	1104	dnaN		COG0592	Beta sliding clamp
MFNABGGJ_00118	CDS	1521	dnaA		COG0593	Chromosomal replication initiator protein DnaA
MFNABGGJ_00119	CDS	474	rnpA	3.1.26.5		Ribonuclease P protein component
MFNABGGJ_00120	CDS	1683	yidC			Membrane protein insertase YidC
MFNABGGJ_00121	CDS	1371	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
MFNABGGJ_00122	CDS	1893	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
MFNABGGJ_00123	CDS	645	rsmG	2.1.1.170	COG0357	Ribosomal RNA small subunit methyltransferase G
MFNABGGJ_00124	CDS	798	parA			Chromosome partitioning protein ParA
MFNABGGJ_00125	CDS	873	parB		COG1475	putative chromosome-partitioning protein ParB
MFNABGGJ_00126	CDS	408				hypothetical protein
MFNABGGJ_00127	CDS	870	atpB		COG0356	ATP synthase subunit a
MFNABGGJ_00128	CDS	258	atpH_1			ATP synthase subunit c
MFNABGGJ_00129	CDS	471	atpF		COG0711	ATP synthase subunit b
MFNABGGJ_00130	CDS	537	atpH_2		COG0712	ATP synthase subunit delta
MFNABGGJ_00131	CDS	1545	atpA	7.1.2.2		ATP synthase subunit alpha
MFNABGGJ_00132	CDS	861	atpG		COG0224	ATP synthase gamma chain
MFNABGGJ_00133	CDS	1380	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
MFNABGGJ_00134	CDS	426	atpC		COG0355	ATP synthase epsilon chain
MFNABGGJ_00135	CDS	1368	glmU_1			Bifunctional protein GlmU
MFNABGGJ_00136	CDS	723	srlR_1		COG1349	Glucitol operon repressor
MFNABGGJ_00137	CDS	1833	glmS_1	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
MFNABGGJ_00138	CDS	582	lemA_1		COG1704	Protein LemA
MFNABGGJ_00139	CDS	1167				hypothetical protein
MFNABGGJ_00140	CDS	2298	pbpC		COG4953	Penicillin-binding protein 1C
MFNABGGJ_00141	CDS	5844				hypothetical protein
MFNABGGJ_00142	CDS	630	leuE_1		COG1280	Leucine efflux protein
MFNABGGJ_00143	CDS	483	lrp_1		COG1522	Leucine-responsive regulatory protein
MFNABGGJ_00144	CDS	933				hypothetical protein
MFNABGGJ_00145	CDS	621				hypothetical protein
MFNABGGJ_00146	CDS	444				hypothetical protein
MFNABGGJ_00147	CDS	1299	ynbD		COG0671	putative protein YnbD
MFNABGGJ_00148	CDS	1755	ynbC		COG2267	putative protein YnbC
MFNABGGJ_00149	CDS	621	ynbA		COG0558	Inner membrane protein YnbA
MFNABGGJ_00150	CDS	1956				hypothetical protein
MFNABGGJ_00151	CDS	996				hypothetical protein
MFNABGGJ_00152	CDS	1035				hypothetical protein
MFNABGGJ_00153	CDS	1896	cadA_1	3.6.3.3		Cadmium-transporting ATPase
MFNABGGJ_00154	CDS	252				hypothetical protein
MFNABGGJ_00155	CDS	846				hypothetical protein
MFNABGGJ_00156	CDS	786				hypothetical protein
MFNABGGJ_00157	CDS	1185	COQ3_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
MFNABGGJ_00158	CDS	1440	clsA	2.7.8.-	COG1502	Major cardiolipin synthase ClsA
MFNABGGJ_00159	CDS	522				hypothetical protein
MFNABGGJ_00160	CDS	1338	pyrC_1	3.5.2.3	COG0044	Dihydroorotase
MFNABGGJ_00161	CDS	561	ccmM		COG0663	Carbon dioxide concentrating mechanism protein CcmM
MFNABGGJ_00162	CDS	426	hisI_1	3.5.4.19		Phosphoribosyl-AMP cyclohydrolase
MFNABGGJ_00163	CDS	885			COG0803	putative periplasmic iron-binding protein
MFNABGGJ_00164	CDS	867	mntC		COG1108	Manganese transport system membrane protein MntC
MFNABGGJ_00165	CDS	669	scaC	7.2.2.5	COG1121	Manganese import ATP-binding protein ScaC
MFNABGGJ_00166	CDS	897	folE2			GTP cyclohydrolase FolE2
MFNABGGJ_00167	CDS	1224	amiC_1	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiC
MFNABGGJ_00168	CDS	402				hypothetical protein
MFNABGGJ_00169	CDS	405	dksA_1		COG1734	RNA polymerase-binding transcription factor DksA
MFNABGGJ_00170	CDS	1206	yciC		COG0523	Putative metal chaperone YciC
MFNABGGJ_00171	CDS	645				hypothetical protein
MFNABGGJ_00172	CDS	972	yeiR	3.6.-.-	COG0523	Zinc-binding GTPase YeiR
MFNABGGJ_00173	CDS	399				hypothetical protein
MFNABGGJ_00174	CDS	873	pdxY	2.7.1.35	COG2240	Pyridoxal kinase PdxY
MFNABGGJ_00175	CDS	486				hypothetical protein
MFNABGGJ_00176	CDS	1764	kefB			Glutathione-regulated potassium-efflux system protein KefB
MFNABGGJ_00177	CDS	408				hypothetical protein
MFNABGGJ_00178	CDS	876				hypothetical protein
MFNABGGJ_00179	CDS	2184	uvrD	3.6.4.12	COG0210	DNA helicase II
MFNABGGJ_00180	CDS	2874				hypothetical protein
MFNABGGJ_00181	CDS	867	hexR_1		COG1737	HTH-type transcriptional regulator HexR
MFNABGGJ_00182	CDS	198				hypothetical protein
MFNABGGJ_00183	CDS	975	cmpR_1		COG0583	HTH-type transcriptional activator CmpR
MFNABGGJ_00184	CDS	1416	cfiB	6.4.1.7	COG0439	2-oxoglutarate carboxylase small subunit
MFNABGGJ_00185	CDS	1809	oadA	7.2.4.2	COG0511	Oxaloacetate decarboxylase alpha chain
MFNABGGJ_00186	CDS	1074				hypothetical protein
MFNABGGJ_00187	CDS	1329				hypothetical protein
MFNABGGJ_00188	CDS	2973				hypothetical protein
MFNABGGJ_00189	CDS	276				hypothetical protein
MFNABGGJ_00190	CDS	672				hypothetical protein
MFNABGGJ_00191	CDS	447				hypothetical protein
MFNABGGJ_00192	CDS	636	paiB_1		COG2808	Protease synthase and sporulation protein PAI 2
MFNABGGJ_00193	CDS	1563	gabR_1		COG1167	HTH-type transcriptional regulatory protein GabR
MFNABGGJ_00194	CDS	1092	spuD_1		COG0687	Putrescine-binding periplasmic protein SpuD
MFNABGGJ_00195	CDS	1035	aphA_1	3.5.1.-	COG0123	Acetylpolyamine amidohydrolase 1
MFNABGGJ_00196	CDS	993				putative HTH-type transcriptional regulator
MFNABGGJ_00197	CDS	4572				hypothetical protein
MFNABGGJ_00198	CDS	978	ansA	3.5.1.1	COG0252	L-asparaginase 1
MFNABGGJ_00199	CDS	1452	alsT		COG1115	Amino-acid carrier protein AlsT
MFNABGGJ_00200	CDS	1425	aspA	4.3.1.1	COG1027	Aspartate ammonia-lyase
MFNABGGJ_00201	CDS	924	yjiE			HTH-type transcriptional regulator YjiE
MFNABGGJ_00202	CDS	492	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
MFNABGGJ_00203	CDS	1086	purK	6.3.4.18	COG0026	N5-carboxyaminoimidazole ribonucleotide synthase
MFNABGGJ_00204	CDS	246				hypothetical protein
MFNABGGJ_00205	CDS	534				hypothetical protein
MFNABGGJ_00206	CDS	900	yeaD_1	5.1.3.15	COG0676	Putative glucose-6-phosphate 1-epimerase
MFNABGGJ_00207	CDS	405		3.1.2.-	COG1607	putative acyl-CoA thioester hydrolase
MFNABGGJ_00208	CDS	1290	abaF_1			Fosfomycin resistance protein AbaF
MFNABGGJ_00209	CDS	990	pstS_1		COG0226	Phosphate-binding protein PstS
MFNABGGJ_00210	CDS	2286				hypothetical protein
MFNABGGJ_00211	CDS	1671				hypothetical protein
MFNABGGJ_00212	CDS	834	pstB_1	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB
MFNABGGJ_00213	CDS	762	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU 
MFNABGGJ_00214	CDS	900	cheB_1	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
MFNABGGJ_00215	CDS	651				hypothetical protein
MFNABGGJ_00216	CDS	1341				hypothetical protein
MFNABGGJ_00217	CDS	1323	phoR	2.7.13.3		Phosphate regulon sensor protein PhoR
MFNABGGJ_00218	CDS	690	phoB		COG0745	Phosphate regulon transcriptional regulatory protein PhoB
MFNABGGJ_00219	CDS	381				hypothetical protein
MFNABGGJ_00220	CDS	891	ubiA	2.5.1.39	COG0382	4-hydroxybenzoate octaprenyltransferase
MFNABGGJ_00221	CDS	564	ubiC	4.1.3.40	COG3161	Chorismate pyruvate-lyase
MFNABGGJ_00222	CDS	168	rubA1		COG1773	Rubredoxin-1
MFNABGGJ_00223	CDS	1149	alkT	1.18.1.1	COG1251	Rubredoxin-NAD(+) reductase
MFNABGGJ_00224	CDS	276	hupB_1		COG0776	DNA-binding protein HU-beta
MFNABGGJ_00225	CDS	570				hypothetical protein
MFNABGGJ_00226	CDS	4395	rhsA	3.1.-.-	COG3209	putative deoxyribonuclease RhsA
MFNABGGJ_00227	CDS	435				hypothetical protein
MFNABGGJ_00228	CDS	1941	vgrG1_1	6.3.2.-	COG3501	Actin cross-linking toxin VgrG1
MFNABGGJ_00229	CDS	2673	clpV1_1		COG0542	Protein ClpV1
MFNABGGJ_00230	CDS	1044				hypothetical protein
MFNABGGJ_00231	CDS	1860				hypothetical protein
MFNABGGJ_00232	CDS	516				hypothetical protein
MFNABGGJ_00233	CDS	489	hcp1		COG3157	Protein hcp1
MFNABGGJ_00234	CDS	1497				hypothetical protein
MFNABGGJ_00235	CDS	507				hypothetical protein
MFNABGGJ_00236	CDS	1020				hypothetical protein
MFNABGGJ_00237	CDS	1329				hypothetical protein
MFNABGGJ_00238	CDS	507				hypothetical protein
MFNABGGJ_00239	CDS	1335				hypothetical protein
MFNABGGJ_00240	CDS	1290				hypothetical protein
MFNABGGJ_00241	CDS	3501				hypothetical protein
MFNABGGJ_00242	CDS	654				hypothetical protein
MFNABGGJ_00243	CDS	720	prpC_1	3.1.3.16	COG0631	Protein phosphatase PrpC
MFNABGGJ_00244	CDS	3018	pknD_1	2.7.11.1		Serine/threonine-protein kinase PknD
MFNABGGJ_00245	CDS	705	macB_1	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB
MFNABGGJ_00246	CDS	1185				hypothetical protein
MFNABGGJ_00247	CDS	1713				hypothetical protein
MFNABGGJ_00248	CDS	924				hypothetical protein
MFNABGGJ_00249	CDS	381				hypothetical protein
MFNABGGJ_00250	CDS	1401				hypothetical protein
MFNABGGJ_00251	CDS	2076	recG	3.6.4.12	COG1200	ATP-dependent DNA helicase RecG
MFNABGGJ_00252	CDS	921	oxyR_1			Hydrogen peroxide-inducible genes activator
MFNABGGJ_00253	CDS	531	tpd		COG3470	34 kDa membrane antigen
MFNABGGJ_00254	CDS	819	efeU_1		COG0672	Ferrous iron permease EfeU
MFNABGGJ_00255	CDS	336				hypothetical protein
MFNABGGJ_00256	CDS	750				hypothetical protein
MFNABGGJ_00257	CDS	426	exbD_1		COG0848	Biopolymer transport protein ExbD
MFNABGGJ_00258	CDS	987	tolQ_1			Tol-Pal system protein TolQ
MFNABGGJ_00259	CDS	852				hypothetical protein
MFNABGGJ_00260	CDS	744				hypothetical protein
MFNABGGJ_00261	CDS	381	yabJ_1	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
MFNABGGJ_00262	CDS	2106	spoT		COG0317	Bifunctional (p)ppGpp synthase/hydrolase SpoT
MFNABGGJ_00263	CDS	264	rpoZ	2.7.7.6		DNA-directed RNA polymerase subunit omega
MFNABGGJ_00264	CDS	621	gmk	2.7.4.8	COG0194	Guanylate kinase
MFNABGGJ_00265	CDS	864				hypothetical protein
MFNABGGJ_00266	CDS	723	rph	2.7.7.56	COG0689	Ribonuclease PH
MFNABGGJ_00267	CDS	369				hypothetical protein
MFNABGGJ_00268	CDS	780	exoA	3.1.11.2	COG0708	Exodeoxyribonuclease
MFNABGGJ_00269	CDS	645	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
MFNABGGJ_00270	CDS	906	argB	2.7.2.8	COG0548	Acetylglutamate kinase
MFNABGGJ_00271	CDS	1398	algC	5.4.2.2	COG1109	Phosphomannomutase/phosphoglucomutase
MFNABGGJ_00272	CDS	456	dut	3.6.1.23	COG0756	Deoxyuridine 5'-triphosphate nucleotidohydrolase
MFNABGGJ_00273	CDS	1209	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
MFNABGGJ_00274	CDS	675				hypothetical protein
MFNABGGJ_00275	CDS	1593	dppA_1		COG0747	Periplasmic dipeptide transport protein
MFNABGGJ_00276	CDS	234	rpmB		COG0227	50S ribosomal protein L28
MFNABGGJ_00277	CDS	156	rpmG		COG0267	50S ribosomal protein L33
MFNABGGJ_00278	CDS	363				hypothetical protein
MFNABGGJ_00279	CDS	1494	puuC_1	1.2.1.5	COG1012	NADP/NAD-dependent aldehyde dehydrogenase PuuC
MFNABGGJ_00280	CDS	1143	ycaD_1			putative MFS-type transporter YcaD
MFNABGGJ_00281	CDS	1563	clsC	2.7.8.-	COG1502	Cardiolipin synthase C
MFNABGGJ_00282	CDS	1425	norG_1		COG1167	HTH-type transcriptional regulator NorG
MFNABGGJ_00283	CDS	237				hypothetical protein
MFNABGGJ_00284	CDS	1293	puuB_1	1.4.3.-		Gamma-glutamylputrescine oxidoreductase
MFNABGGJ_00285	CDS	360				hypothetical protein
MFNABGGJ_00286	CDS	489	lrp_2		COG1522	Leucine-responsive regulatory protein
MFNABGGJ_00287	CDS	1302	dadA1_1	1.4.99.-	COG0665	D-amino acid dehydrogenase 1
MFNABGGJ_00288	CDS	354	rutC_1	1.-.-.-		Putative aminoacrylate peracid reductase RutC
MFNABGGJ_00289	CDS	1077	alr	5.1.1.1		Alanine racemase
MFNABGGJ_00290	CDS	549	puuR_1			HTH-type transcriptional regulator PuuR
MFNABGGJ_00291	CDS	429				hypothetical protein
MFNABGGJ_00292	CDS	1923		2.8.3.-		butyrate:acetyl-CoA coenzyme A-transferase
MFNABGGJ_00293	CDS	573	xpt	2.4.2.22	COG0503	Xanthine phosphoribosyltransferase
MFNABGGJ_00294	CDS	2010	rep_1	3.6.4.12	COG0210	ATP-dependent DNA helicase Rep
MFNABGGJ_00295	CDS	1671				hypothetical protein
MFNABGGJ_00296	CDS	1398	mdtK		COG0534	Multidrug resistance protein MdtK
MFNABGGJ_00297	CDS	921	gcvA_2			Glycine cleavage system transcriptional activator
MFNABGGJ_00298	CDS	1977				hypothetical protein
MFNABGGJ_00299	CDS	924				hypothetical protein
MFNABGGJ_00300	CDS	585	betI_1			HTH-type transcriptional regulator BetI
MFNABGGJ_00301	CDS	1497	comM		COG0606	Competence protein ComM
MFNABGGJ_00302	CDS	909	cynR_1			HTH-type transcriptional regulator CynR
MFNABGGJ_00303	CDS	1155	cfa	2.1.1.79	COG2230	Cyclopropane-fatty-acyl-phospholipid synthase
MFNABGGJ_00304	CDS	261	ubiK			Ubiquinone biosynthesis accessory factor UbiK
MFNABGGJ_00305	CDS	339	glnK		COG0347	Nitrogen regulatory protein P-II 2
MFNABGGJ_00306	CDS	1341	amtB_1			Ammonia channel
MFNABGGJ_00307	CDS	426				hypothetical protein
MFNABGGJ_00308	CDS	327	sutA			Transcriptional regulator SutA
MFNABGGJ_00309	CDS	696	yigB	3.1.3.104	COG1011	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB
MFNABGGJ_00310	CDS	900	xerC_1		COG4973	Tyrosine recombinase XerC
MFNABGGJ_00311	CDS	717				hypothetical protein
MFNABGGJ_00312	CDS	831	dapF_1	5.1.1.7	COG0253	Diaminopimelate epimerase
MFNABGGJ_00313	CDS	1248	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
MFNABGGJ_00314	CDS	162				hypothetical protein
MFNABGGJ_00315	CDS	333	cyaY		COG1965	Iron-sulfur cluster assembly protein CyaY
MFNABGGJ_00316	CDS	219				hypothetical protein
MFNABGGJ_00317	CDS	411	rnk_1		COG0782	Regulator of nucleoside diphosphate kinase
MFNABGGJ_00318	CDS	2841				hypothetical protein
MFNABGGJ_00319	CDS	249				hypothetical protein
MFNABGGJ_00320	CDS	285				hypothetical protein
MFNABGGJ_00321	CDS	660		2.5.1.18		Glutathione S-transferase
MFNABGGJ_00322	CDS	1395	argH_1	4.3.2.1	COG0165	Argininosuccinate lyase
MFNABGGJ_00323	CDS	747	btsR		COG3279	Transcriptional regulatory protein BtsR
MFNABGGJ_00324	CDS	942	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
MFNABGGJ_00325	CDS	768	hemD	4.2.1.75	COG1587	Uroporphyrinogen-III synthase
MFNABGGJ_00326	CDS	1119	hemX		COG2959	Protein HemX
MFNABGGJ_00327	CDS	1242	hemY		COG3071	Protein HemY
MFNABGGJ_00328	CDS	522	dsbB_1			Disulfide bond formation protein B
MFNABGGJ_00329	CDS	459	rsd		COG3160	Regulator of sigma D
MFNABGGJ_00330	CDS	666	mip	5.2.1.8	COG0545	Peptidyl-prolyl cis-trans isomerase Mip
MFNABGGJ_00331	CDS	1233				hypothetical protein
MFNABGGJ_00332	CDS	462				hypothetical protein
MFNABGGJ_00333	CDS	1911	yheS_1		COG0488	putative ABC transporter ATP-binding protein YheS
MFNABGGJ_00334	CDS	564				hypothetical protein
MFNABGGJ_00335	CDS	633	rhtB_1		COG1280	Homoserine/homoserine lactone efflux protein
MFNABGGJ_00336	CDS	744				hypothetical protein
MFNABGGJ_00337	CDS	588				hypothetical protein
MFNABGGJ_00338	CDS	372				hypothetical protein
MFNABGGJ_00339	CDS	1398				hypothetical protein
MFNABGGJ_00340	CDS	1896				hypothetical protein
MFNABGGJ_00341	CDS	453				hypothetical protein
MFNABGGJ_00342	CDS	666	elbB	4.2.1.-	COG3155	Glyoxalase ElbB
MFNABGGJ_00343	CDS	1236				hypothetical protein
MFNABGGJ_00344	CDS	639				hypothetical protein
MFNABGGJ_00345	CDS	1014	hemB_1	4.2.1.24	COG0113	Delta-aminolevulinic acid dehydratase
MFNABGGJ_00346	CDS	2229	ppk	2.7.4.1		Polyphosphate kinase
MFNABGGJ_00347	CDS	1503	ppx	3.6.1.11	COG0248	Exopolyphosphatase
MFNABGGJ_00348	CDS	654				hypothetical protein
MFNABGGJ_00349	CDS	714	elfD		COG3121	putative fimbrial chaperone protein ElfD
MFNABGGJ_00350	CDS	2499	yraJ_1		COG3188	Outer membrane usher protein YraJ
MFNABGGJ_00351	CDS	564				hypothetical protein
MFNABGGJ_00352	CDS	738	glnQ_1			Glutamine transport ATP-binding protein GlnQ
